"Product","Dead","Started","Ended","Hits","Type","Profit","FLOSS","Acquisition","Social","Days","AvgHits","DeflatedHits","AvgDeflatedHits"
"Blog Search",FALSE,2005-09-14,2013-04-01,12900000,"service",FALSE,FALSE,FALSE,FALSE,2756,4635.28566295365,0.00124907815772336,-1.26267940684257
"Bookmarks",FALSE,2005-10-10,2013-04-01,1.46e+08,"service",FALSE,FALSE,FALSE,FALSE,2730,52956.1117156329,0.0135890105750087,-2.53047209693652
"Books",FALSE,2004-12-14,2013-04-01,1.09e+08,"service",TRUE,FALSE,FALSE,FALSE,3030,35655.8717697089,0.0160073072720006,-2.53504338359323
"Books App",FALSE,2010-12-06,2013-04-01,1390000,"program",FALSE,FALSE,FALSE,FALSE,847,1590.38901601831,7.39117097256746e-06,-0.623918233897281
"Boutiques",FALSE,2010-11-17,2013-04-01,29000,"service",TRUE,FALSE,TRUE,TRUE,866,32.474804031355,1.58723065869297e-07,-0.222307180192686
"Building Maker",FALSE,2009-10-13,2013-04-01,1760000,"service",FALSE,FALSE,FALSE,FALSE,1266,1361.17556071152,1.76941803969944e-05,-0.659470187338142
"Calendar",FALSE,2006-04-13,2013-04-01,23300000,"service",FALSE,FALSE,FALSE,FALSE,2545,9059.09797822706,0.00163702711684676,-1.42037484493223
"Certification Program",FALSE,2004-11-17,2013-04-01,536000,"service",TRUE,FALSE,FALSE,FALSE,3057,173.800259403372,8.20128087297882e-05,-0.548209877437087
"Chart Tools",FALSE,2007-12-06,2013-04-01,122000,"service",FALSE,FALSE,FALSE,FALSE,1943,61.9289340101523,3.43262055426241e-06,-0.327922931061302
"Checkout",FALSE,2006-06-28,2013-04-01,23500000,"service",TRUE,FALSE,FALSE,FALSE,2469,9415.0641025641,0.00147093480610849,-1.40298476772178
"Checkout Store Gadget",FALSE,2009-07-31,2013-04-01,89200,"service",TRUE,FALSE,FALSE,FALSE,1340,65.25237746891,1.00354453130142e-06,-0.302510198615675
"Chrome",FALSE,2008-09-02,2013-04-01,1.71e+08,"program",FALSE,TRUE,FALSE,FALSE,1672,100647.439670394,0.00318677034036135,-2.00380680808608
"Chromebook",FALSE,2008-09-02,2013-04-01,43600000,"thing",TRUE,TRUE,FALSE,FALSE,1672,25662.1542083579,0.000812533256372834,-1.42688234418072
"Chromebook Pixel",FALSE,2013-02-21,2013-04-01,21100000,"thing",TRUE,TRUE,FALSE,FALSE,39,319696.96969697,3.28509485852054e-05,-1.22779019710691
"Chromebox",FALSE,2012-05-29,2013-04-01,768000,"thing",TRUE,TRUE,FALSE,FALSE,307,2299.40119760479,1.79703867188594e-06,-0.585092394231759
"Chrome Experiments",FALSE,2009-03-01,2013-04-01,181000,"service",FALSE,TRUE,FALSE,FALSE,1492,119.157340355497,2.56566027108218e-06,-0.371345869121243
"Chrome OS",FALSE,2009-07-07,2013-04-01,28300000,"program",TRUE,FALSE,FALSE,FALSE,1364,20345.0754852624,0.000330219544508842,-1.23763723393092
"Chrome Web Store",FALSE,2010-12-07,2013-04-01,2.7e+07,"service",TRUE,FALSE,FALSE,FALSE,846,30927.8350515464,0.000143351427839528,-1.16826721925391
"Closure Tools",FALSE,2009-11-05,2013-04-01,85700,"program",FALSE,TRUE,FALSE,FALSE,1243,67.4803149606299,8.31982612140618e-07,-0.300857150308596
