"Sleep.Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","MP","Disturbance"
2012-11-24,82,428,24,5,108,247,73,3,2,"2",-2.54270295573633
2012-11-25,107,595,27,15,188,341,67,7,3,"2",-0.468761273786013
2012-11-26,103,585,30,17,183,339,64,10,2,"2",0.840419113554568
2012-11-27,87,510,43,13,156,299,55,12,3,"3",2.20410084690502
2012-11-28,94,518,40,42,175,261,83,11,3,"2",3.24140032002804
2012-11-29,86,522,19,50,164,302,57,14,1,"3",3.17255960517735
2012-11-30,85,479,32,39,135,275,70,8,3,"3",1.52258861237766
2012-12-01,95,534,28,15,167,302,65,10,4,"4",0.589424476497939
2012-12-02,107,581,37,20,217,292,73,8,3,"2",0.842943571028612
2012-12-03,90,525,36,18,149,328,48,6,3,"3",0.00488093452496846
2012-12-04,109,603,19,33,214,315,74,9,4,"4",0.601420948036364
2012-12-05,106,584,25,27,208,306,70,8,4,"3",0.371788292264747
2012-12-06,94,578,30,45,196,343,40,13,4,"4",3.35255826971554
2012-12-07,85,507,31,60,160,297,51,9,2,"3",2.92434604162028
2012-12-08,105,593,22,23,206,324,64,9,3,"3",0.269883268543054
2012-12-10,103,539,30,10,192,270,77,4,2,"2",-1.51513211270319
2012-12-11,91,528,22,50,149,313,66,9,1,"3",1.7404063567825
2012-12-13,116,625,20,6,223,334,69,5,4,"4",-2.11427163954249
2012-12-14,102,590,33,25,198,331,62,13,2,"3",2.4763824093928
2012-12-15,95,533,26,22,180,283,70,11,4,"4",1.15765495213399
2012-12-16,97,549,33,28,189,291,70,12,3,"2",2.31072311369544
2012-12-17,81,464,42,31,139,267,58,9,2,"2",2.12626382211403
2012-12-18,79,471,31,61,143,273,56,9,3,"3",2.97880985970322
2012-12-19,102,561,23,18,196,296,70,8,3,"2",-0.26045307137248
2012-12-20,98,548,25,15,172,310,66,9,3,"3",0.0472732252156299
2012-12-21,94,509,25,6,150,296,63,2,3,"2",-2.74625638715421
2012-12-22,77,450,19,36,149,246,55,11,2,"2",1.42291390217758
2012-12-23,101,583,18,24,186,336,62,11,3,"2",0.698314584736896
2012-12-24,83,463,21,31,145,251,68,9,4,"4",0.634560312761223
2012-12-25,87,515,28,52,153,299,63,11,2,"3",2.93363649551301
2012-12-26,96,553,41,26,196,304,54,11,2,"3",2.44101273114633
2012-12-27,75,418,30,10,122,245,51,5,2,"4",-1.186081362757
2012-12-28,89,545,21,78,158,317,70,15,2,"2",5.16866426233668
2012-12-29,92,533,32,36,157,306,70,13,3,"2",3.0044509078598
2012-12-30,89,504,16,45,177,263,65,10,4,"3",1.37093701364175
2012-12-31,90,505,19,31,170,273,63,8,3,"3",0.163442561924286
2013-01-01,98,539,15,37,176,271,92,13,4,"3",1.85134521837142
2013-01-02,92,528,34,43,168,296,65,10,2,"4",2.54061238549256
2013-01-03,79,459,47,53,133,256,70,12,2,"4",4.66678757200421
2013-01-04,95,523,23,21,192,264,68,10,3,"3",0.561039882768735
2013-01-05,113,608,13,10,190,336,83,7,4,"2",-1.73554937043593
2013-01-06,73,438,44,35,141,254,44,11,2,"3",3.14428759522893
2013-01-07,89,484,27,36,159,247,79,9,3,"2",1.33308040584817
2013-01-08,106,566,24,34,208,265,94,11,3,"2",1.66915376823855
2013-01-09,86,492,20,17,152,286,55,8,3,"2",-0.528017390791538
2013-01-10,93,500,19,27,186,239,75,9,2,"3",0.274638039538709
2013-01-11,92,516,13,25,178,273,66,11,2,"3",0.397610900592979
